# This file lists the individual Hector runs to be performed for each emissions scenario,,,,,,
# The first two columns (mean, SD) give information about the S distribution used;,,,,,
# `param_set` gives the relevant line number in the S data file;,,,,,,
# `temperature.S`` is the random draw from that distribution;,,,,,,
# and the last (run_number) a sequentially increasing run number, i.e. line number in runset file.,,,,,
type,mean,SD,param_set,temperature.S,run_number,runname_mc
AR5,3,NA,1,4.345,1,rffsps_1
AR5,3,NA,1,4.382,1,rffsps_1
AR5,3,NA,1,2.862,1,rffsps_1
AR5,3,NA,1,3.7,1,rffsps_1
AR5,3,NA,1,2.057,1,rffsps_1
AR5,3,NA,1,5.56,1,rffsps_1
AR5,3,NA,1,2.029,1,rffsps_1
AR5,3,NA,1,4.351,1,rffsps_1
AR5,3,NA,1,1.863,1,rffsps_1
AR5,3,NA,1,3.561,1,rffsps_1
AR5,3,NA,1,4.398,1,rffsps_1
AR5,3,NA,1,2.14,1,rffsps_1
AR5,3,NA,1,1.541,1,rffsps_1
AR5,3,NA,1,1.859,1,rffsps_1
AR5,3,NA,1,6.332,1,rffsps_1
AR5,3,NA,1,1.936,1,rffsps_1
AR5,3,NA,1,4.134,1,rffsps_1
AR5,3,NA,1,4.695,1,rffsps_1
AR5,3,NA,1,1.314,1,rffsps_1
AR5,3,NA,1,1.937,1,rffsps_1
AR5,3,NA,1,1.207,1,rffsps_1
AR5,3,NA,1,3.692,1,rffsps_1
AR5,3,NA,1,1.045,1,rffsps_1
AR5,3,NA,1,3.549,1,rffsps_1
AR5,3,NA,1,3.14,1,rffsps_1
AR5,3,NA,1,1.683,1,rffsps_1
AR5,3,NA,1,2.343,1,rffsps_1
AR5,3,NA,1,1.093,1,rffsps_1
AR5,3,NA,1,3.288,1,rffsps_1
AR5,3,NA,1,2.25,1,rffsps_1
AR5,3,NA,1,2.016,1,rffsps_1
AR5,3,NA,1,2.46,1,rffsps_1
AR5,3,NA,1,2.333,1,rffsps_1
AR5,3,NA,1,3.518,1,rffsps_1
AR5,3,NA,1,3.37,1,rffsps_1
AR5,3,NA,1,2.179,1,rffsps_1
AR5,3,NA,1,2.548,1,rffsps_1
AR5,3,NA,1,1.909,1,rffsps_1
AR5,3,NA,1,2.655,1,rffsps_1
AR5,3,NA,1,3.746,1,rffsps_1
AR5,3,NA,1,3.449,1,rffsps_1
AR5,3,NA,1,3.941,1,rffsps_1
AR5,3,NA,1,3.001,1,rffsps_1
AR5,3,NA,1,2.92,1,rffsps_1
AR5,3,NA,1,1.508,1,rffsps_1
AR5,3,NA,1,1.451,1,rffsps_1
AR5,3,NA,1,3.277,1,rffsps_1
AR5,3,NA,1,2.241,1,rffsps_1
AR5,3,NA,1,1.795,1,rffsps_1
AR5,3,NA,1,3.04,1,rffsps_1
AR5,3,NA,1,3.862,1,rffsps_1
AR5,3,NA,1,1.189,1,rffsps_1
AR5,3,NA,1,2.156,1,rffsps_1
AR5,3,NA,1,4.147,1,rffsps_1
AR5,3,NA,1,2.308,1,rffsps_1
AR5,3,NA,1,4.2,1,rffsps_1
AR5,3,NA,1,3.635,1,rffsps_1
AR5,3,NA,1,0.612,1,rffsps_1
AR5,3,NA,1,1.804,1,rffsps_1
AR5,3,NA,1,4.77,1,rffsps_1
AR5,3,NA,1,3.376,1,rffsps_1
AR5,3,NA,1,2.442,1,rffsps_1
AR5,3,NA,1,4.233,1,rffsps_1
AR5,3,NA,1,1.234,1,rffsps_1
AR5,3,NA,1,4.45,1,rffsps_1
AR5,3,NA,1,2.397,1,rffsps_1
AR5,3,NA,1,0.541,1,rffsps_1
AR5,3,NA,1,3.219,1,rffsps_1
AR5,3,NA,1,1.422,1,rffsps_1
AR5,3,NA,1,3.336,1,rffsps_1
AR5,3,NA,1,4.229,1,rffsps_1
AR5,3,NA,1,2.996,1,rffsps_1
AR5,3,NA,1,6.192,1,rffsps_1
AR5,3,NA,1,2.07,1,rffsps_1
AR5,3,NA,1,5.819,1,rffsps_1
AR5,3,NA,1,2.221,1,rffsps_1
AR5,3,NA,1,1.455,1,rffsps_1
AR5,3,NA,1,3.046,1,rffsps_1
AR5,3,NA,1,3.924,1,rffsps_1
AR5,3,NA,1,2.999,1,rffsps_1
AR5,3,NA,1,4.793,1,rffsps_1
AR5,3,NA,1,2.097,1,rffsps_1
AR5,3,NA,1,3.042,1,rffsps_1
AR5,3,NA,1,2.202,1,rffsps_1
AR5,3,NA,1,1.401,1,rffsps_1
AR5,3,NA,1,4.85,1,rffsps_1
AR5,3,NA,1,3.564,1,rffsps_1
AR5,3,NA,1,1.946,1,rffsps_1
AR5,3,NA,1,2.698,1,rffsps_1
AR5,3,NA,1,1.11,1,rffsps_1
AR5,3,NA,1,1.845,1,rffsps_1
AR5,3,NA,1,3.157,1,rffsps_1
AR5,3,NA,1,2.82,1,rffsps_1
AR5,3,NA,1,4.87,1,rffsps_1
AR5,3,NA,1,2.546,1,rffsps_1
AR5,3,NA,1,0.771,1,rffsps_1
AR5,3,NA,1,2.787,1,rffsps_1
AR5,3,NA,1,2.21,1,rffsps_1
AR5,3,NA,1,3.221,1,rffsps_1
AR5,3,NA,1,2.407,1,rffsps_1
AR5,3,NA,1,0.91,1,rffsps_1
AR5,3,NA,1,3.722,1,rffsps_1
AR5,3,NA,1,2.157,1,rffsps_1
AR5,3,NA,1,3.974,1,rffsps_1
AR5,3,NA,1,4.058,1,rffsps_1
AR5,3,NA,1,3.797,1,rffsps_1
AR5,3,NA,1,1.994,1,rffsps_1
AR5,3,NA,1,1.964,1,rffsps_1
AR5,3,NA,1,3.797,1,rffsps_1
AR5,3,NA,1,5.214,1,rffsps_1
AR5,3,NA,1,1.766,1,rffsps_1
AR5,3,NA,1,6.058,1,rffsps_1
AR5,3,NA,1,2.217,1,rffsps_1
AR5,3,NA,1,3.963,1,rffsps_1
AR5,3,NA,1,4.099,1,rffsps_1
AR5,3,NA,1,3.41,1,rffsps_1
AR5,3,NA,1,4.129,1,rffsps_1
AR5,3,NA,1,2.551,1,rffsps_1
AR5,3,NA,1,2.996,1,rffsps_1
AR5,3,NA,1,4.745,1,rffsps_1
AR5,3,NA,1,3.176,1,rffsps_1
AR5,3,NA,1,2.531,1,rffsps_1
AR5,3,NA,1,0.935,1,rffsps_1
AR5,3,NA,1,3.46,1,rffsps_1
AR5,3,NA,1,4.165,1,rffsps_1
AR5,3,NA,1,4.42,1,rffsps_1
AR5,3,NA,1,2.662,1,rffsps_1
AR5,3,NA,1,3.968,1,rffsps_1
AR5,3,NA,1,2.608,1,rffsps_1
AR5,3,NA,1,5.268,1,rffsps_1
AR5,3,NA,1,3.386,1,rffsps_1
AR5,3,NA,1,3.433,1,rffsps_1
AR5,3,NA,1,3.438,1,rffsps_1
AR5,3,NA,1,2.188,1,rffsps_1
AR5,3,NA,1,3.534,1,rffsps_1
AR5,3,NA,1,2.9,1,rffsps_1
AR5,3,NA,1,1.995,1,rffsps_1
AR5,3,NA,1,5.753,1,rffsps_1
AR5,3,NA,1,2.375,1,rffsps_1
AR5,3,NA,1,2.534,1,rffsps_1
AR5,3,NA,1,1.126,1,rffsps_1
AR5,3,NA,1,3.356,1,rffsps_1
AR5,3,NA,1,3.095,1,rffsps_1
AR5,3,NA,1,3.789,1,rffsps_1
AR5,3,NA,1,2.873,1,rffsps_1
AR5,3,NA,1,3.157,1,rffsps_1
AR5,3,NA,1,2.029,1,rffsps_1
AR5,3,NA,1,2.212,1,rffsps_1
AR5,3,NA,1,2.851,1,rffsps_1
AR5,3,NA,1,4.335,1,rffsps_1
AR5,3,NA,1,4.376,1,rffsps_1
AR5,3,NA,1,3.735,1,rffsps_1
AR5,3,NA,1,3.081,1,rffsps_1
AR5,3,NA,1,1.475,1,rffsps_1
AR5,3,NA,1,1.956,1,rffsps_1
AR5,3,NA,1,4.948,1,rffsps_1
AR5,3,NA,1,2.228,1,rffsps_1
AR5,3,NA,1,2.829,1,rffsps_1
AR5,3,NA,1,2.202,1,rffsps_1
AR5,3,NA,1,5.538,1,rffsps_1
AR5,3,NA,1,6.131,1,rffsps_1
AR5,3,NA,1,3.94,1,rffsps_1
AR5,3,NA,1,4.327,1,rffsps_1
AR5,3,NA,1,3.733,1,rffsps_1
AR5,3,NA,1,2.133,1,rffsps_1
AR5,3,NA,1,4.252,1,rffsps_1
AR5,3,NA,1,3.478,1,rffsps_1
AR5,3,NA,1,4.359,1,rffsps_1
AR5,3,NA,1,2.182,1,rffsps_1
AR5,3,NA,1,3.379,1,rffsps_1
AR5,3,NA,1,4.298,1,rffsps_1
AR5,3,NA,1,2.024,1,rffsps_1
AR5,3,NA,1,2.271,1,rffsps_1
AR5,3,NA,1,3.093,1,rffsps_1
AR5,3,NA,1,2.738,1,rffsps_1
AR5,3,NA,1,3.89,1,rffsps_1
AR5,3,NA,1,2.796,1,rffsps_1
AR5,3,NA,1,3.483,1,rffsps_1
AR5,3,NA,1,1.746,1,rffsps_1
AR5,3,NA,1,4.173,1,rffsps_1
AR5,3,NA,1,1.495,1,rffsps_1
AR5,3,NA,1,3.098,1,rffsps_1
AR5,3,NA,1,0.599,1,rffsps_1
AR5,3,NA,1,3.959,1,rffsps_1
AR5,3,NA,1,1.806,1,rffsps_1
AR5,3,NA,1,4.307,1,rffsps_1
AR5,3,NA,1,3.348,1,rffsps_1
AR5,3,NA,1,2.851,1,rffsps_1
AR5,3,NA,1,4.477,1,rffsps_1
AR5,3,NA,1,3.338,1,rffsps_1
AR5,3,NA,1,3.72,1,rffsps_1
AR5,3,NA,1,3.685,1,rffsps_1
AR5,3,NA,1,4.559,1,rffsps_1
AR5,3,NA,1,3.847,1,rffsps_1
AR5,3,NA,1,0.8,1,rffsps_1
AR5,3,NA,1,2.694,1,rffsps_1
AR5,3,NA,1,1.75,1,rffsps_1
AR5,3,NA,1,2.139,1,rffsps_1
AR5,3,NA,1,1.414,1,rffsps_1
AR5,3,NA,1,4.299,1,rffsps_1
AR5,3,NA,1,6.027,1,rffsps_1
AR5,3,NA,1,2.039,1,rffsps_1
AR5,3,NA,1,2.802,1,rffsps_1
AR5,3,NA,1,2.919,1,rffsps_1
AR5,3,NA,1,3.269,1,rffsps_1
AR5,3,NA,1,1.615,1,rffsps_1
AR5,3,NA,1,4.648,1,rffsps_1
AR5,3,NA,1,2.015,1,rffsps_1
AR5,3,NA,1,2.387,1,rffsps_1
AR5,3,NA,1,1.976,1,rffsps_1
AR5,3,NA,1,3.597,1,rffsps_1
AR5,3,NA,1,2.362,1,rffsps_1
AR5,3,NA,1,0.703,1,rffsps_1
AR5,3,NA,1,5.337,1,rffsps_1
AR5,3,NA,1,3.704,1,rffsps_1
AR5,3,NA,1,2.62,1,rffsps_1
AR5,3,NA,1,7.528,1,rffsps_1
AR5,3,NA,1,2.297,1,rffsps_1
AR5,3,NA,1,1.328,1,rffsps_1
AR5,3,NA,1,0.952,1,rffsps_1
AR5,3,NA,1,4.74,1,rffsps_1
AR5,3,NA,1,7.513,1,rffsps_1
AR5,3,NA,1,3.239,1,rffsps_1
AR5,3,NA,1,2.339,1,rffsps_1
AR5,3,NA,1,4.564,1,rffsps_1
AR5,3,NA,1,3.996,1,rffsps_1
AR5,3,NA,1,3.029,1,rffsps_1
AR5,3,NA,1,2.032,1,rffsps_1
AR5,3,NA,1,5.216,1,rffsps_1
AR5,3,NA,1,2.879,1,rffsps_1
AR5,3,NA,1,2.594,1,rffsps_1
AR5,3,NA,1,2.567,1,rffsps_1
AR5,3,NA,1,1.849,1,rffsps_1
AR5,3,NA,1,3.24,1,rffsps_1
AR5,3,NA,1,1.5,1,rffsps_1
AR5,3,NA,1,2.129,1,rffsps_1
AR5,3,NA,1,3.531,1,rffsps_1
AR5,3,NA,1,2.663,1,rffsps_1
AR5,3,NA,1,2.272,1,rffsps_1
AR5,3,NA,1,1.808,1,rffsps_1
AR5,3,NA,1,1.828,1,rffsps_1
AR5,3,NA,1,6.876,1,rffsps_1
AR5,3,NA,1,1.243,1,rffsps_1
AR5,3,NA,1,3.474,1,rffsps_1
AR5,3,NA,1,1.487,1,rffsps_1
AR5,3,NA,1,1.425,1,rffsps_1
AR5,3,NA,1,1.993,1,rffsps_1
AR5,3,NA,1,6.642,1,rffsps_1
AR5,3,NA,1,4.341,1,rffsps_1
AR5,3,NA,1,4.808,1,rffsps_1
AR5,3,NA,1,2.702,1,rffsps_1
AR5,3,NA,1,2.572,1,rffsps_1
AR5,3,NA,1,4.197,1,rffsps_1
AR5,3,NA,1,3.589,1,rffsps_1
AR5,3,NA,1,3.893,1,rffsps_1
AR5,3,NA,1,3.106,1,rffsps_1
AR5,3,NA,1,3.283,1,rffsps_1
AR5,3,NA,1,1.412,1,rffsps_1
AR5,3,NA,1,4.512,1,rffsps_1
AR5,3,NA,1,1.83,1,rffsps_1
AR5,3,NA,1,4.606,1,rffsps_1
AR5,3,NA,1,7.52,1,rffsps_1
AR5,3,NA,1,1.881,1,rffsps_1
AR5,3,NA,1,5.97,1,rffsps_1
AR5,3,NA,1,4.425,1,rffsps_1
AR5,3,NA,1,6.397,1,rffsps_1
AR5,3,NA,1,2.665,1,rffsps_1
AR5,3,NA,1,1.709,1,rffsps_1
AR5,3,NA,1,3.661,1,rffsps_1
AR5,3,NA,1,4.437,1,rffsps_1
AR5,3,NA,1,3.955,1,rffsps_1
AR5,3,NA,1,4.066,1,rffsps_1
AR5,3,NA,1,1.149,1,rffsps_1
AR5,3,NA,1,2.213,1,rffsps_1
AR5,3,NA,1,3.179,1,rffsps_1
AR5,3,NA,1,3.328,1,rffsps_1
AR5,3,NA,1,2.138,1,rffsps_1
AR5,3,NA,1,6.895,1,rffsps_1
AR5,3,NA,1,3.406,1,rffsps_1
AR5,3,NA,1,3.233,1,rffsps_1
AR5,3,NA,1,2.916,1,rffsps_1
AR5,3,NA,1,3,1,rffsps_1
AR5,3,NA,1,3.875,1,rffsps_1
AR5,3,NA,1,4.703,1,rffsps_1
AR5,3,NA,1,4.04,1,rffsps_1
AR5,3,NA,1,5.019,1,rffsps_1
AR5,3,NA,1,4.758,1,rffsps_1
AR5,3,NA,1,2.99,1,rffsps_1
AR5,3,NA,1,2.919,1,rffsps_1
AR5,3,NA,1,3.717,1,rffsps_1
AR5,3,NA,1,4.825,1,rffsps_1
AR5,3,NA,1,2.32,1,rffsps_1
AR5,3,NA,1,3.977,1,rffsps_1
AR5,3,NA,1,3.481,1,rffsps_1
AR5,3,NA,1,4.281,1,rffsps_1
AR5,3,NA,1,3.547,1,rffsps_1
AR5,3,NA,1,7.703,1,rffsps_1
AR5,3,NA,1,4.192,1,rffsps_1
AR5,3,NA,1,2.806,1,rffsps_1
AR5,3,NA,1,6.946,1,rffsps_1
AR5,3,NA,1,3.173,1,rffsps_1
AR5,3,NA,1,3.538,1,rffsps_1
AR5,3,NA,1,2.129,1,rffsps_1
AR5,3,NA,1,4.73,1,rffsps_1
AR5,3,NA,1,2.102,1,rffsps_1
AR5,3,NA,1,4.281,1,rffsps_1
AR5,3,NA,1,0.86,1,rffsps_1
AR5,3,NA,1,1.953,1,rffsps_1
AR5,3,NA,1,2.521,1,rffsps_1
AR5,3,NA,1,3.028,1,rffsps_1
AR5,3,NA,1,1.307,1,rffsps_1
AR5,3,NA,1,4.149,1,rffsps_1
AR5,3,NA,1,5.167,1,rffsps_1
AR5,3,NA,1,0.823,1,rffsps_1
AR5,3,NA,1,2.777,1,rffsps_1
AR5,3,NA,1,2.52,1,rffsps_1
AR5,3,NA,1,7.623,1,rffsps_1
AR5,3,NA,1,2.811,1,rffsps_1
AR5,3,NA,1,3.914,1,rffsps_1
AR5,3,NA,1,2.944,1,rffsps_1
AR5,3,NA,1,5.917,1,rffsps_1
AR5,3,NA,1,2.364,1,rffsps_1
AR5,3,NA,1,1.24,1,rffsps_1
AR5,3,NA,1,3.055,1,rffsps_1
AR5,3,NA,1,2.112,1,rffsps_1
AR5,3,NA,1,5.079,1,rffsps_1
AR5,3,NA,1,2.646,1,rffsps_1
AR5,3,NA,1,5.391,1,rffsps_1
AR5,3,NA,1,8.474,1,rffsps_1
AR5,3,NA,1,3.12,1,rffsps_1
AR5,3,NA,1,1.072,1,rffsps_1
AR5,3,NA,1,5.65,1,rffsps_1
AR5,3,NA,1,4.774,1,rffsps_1
AR5,3,NA,1,5.237,1,rffsps_1
AR5,3,NA,1,2.858,1,rffsps_1
AR5,3,NA,1,2.801,1,rffsps_1
AR5,3,NA,1,3.006,1,rffsps_1
AR5,3,NA,1,1.731,1,rffsps_1
AR5,3,NA,1,0.997,1,rffsps_1
AR5,3,NA,1,3.393,1,rffsps_1
AR5,3,NA,1,4.181,1,rffsps_1
AR5,3,NA,1,7.44,1,rffsps_1
AR5,3,NA,1,3.607,1,rffsps_1
AR5,3,NA,1,0.701,1,rffsps_1
AR5,3,NA,1,2.631,1,rffsps_1
AR5,3,NA,1,1.383,1,rffsps_1
AR5,3,NA,1,5.202,1,rffsps_1
AR5,3,NA,1,5.585,1,rffsps_1
AR5,3,NA,1,3.089,1,rffsps_1
AR5,3,NA,1,4.243,1,rffsps_1
AR5,3,NA,1,5.172,1,rffsps_1
AR5,3,NA,1,1.543,1,rffsps_1
AR5,3,NA,1,1.41,1,rffsps_1
AR5,3,NA,1,3.143,1,rffsps_1
AR5,3,NA,1,2.475,1,rffsps_1
AR5,3,NA,1,3.17,1,rffsps_1
AR5,3,NA,1,2.163,1,rffsps_1
AR5,3,NA,1,2.097,1,rffsps_1
AR5,3,NA,1,3.435,1,rffsps_1
AR5,3,NA,1,3.783,1,rffsps_1
AR5,3,NA,1,2.704,1,rffsps_1
AR5,3,NA,1,3.86,1,rffsps_1
AR5,3,NA,1,3.295,1,rffsps_1
AR5,3,NA,1,4.391,1,rffsps_1
AR5,3,NA,1,1.474,1,rffsps_1
AR5,3,NA,1,3.907,1,rffsps_1
AR5,3,NA,1,1.809,1,rffsps_1
AR5,3,NA,1,1.629,1,rffsps_1
AR5,3,NA,1,4.599,1,rffsps_1
AR5,3,NA,1,3.361,1,rffsps_1
AR5,3,NA,1,5.571,1,rffsps_1
AR5,3,NA,1,1.351,1,rffsps_1
AR5,3,NA,1,4.217,1,rffsps_1
AR5,3,NA,1,2.04,1,rffsps_1
AR5,3,NA,1,4.548,1,rffsps_1
AR5,3,NA,1,1.21,1,rffsps_1
AR5,3,NA,1,3.688,1,rffsps_1
AR5,3,NA,1,2.235,1,rffsps_1
AR5,3,NA,1,3.098,1,rffsps_1
AR5,3,NA,1,1.461,1,rffsps_1
AR5,3,NA,1,3.29,1,rffsps_1
AR5,3,NA,1,2.004,1,rffsps_1
AR5,3,NA,1,3.281,1,rffsps_1
AR5,3,NA,1,2.136,1,rffsps_1
AR5,3,NA,1,4.048,1,rffsps_1
AR5,3,NA,1,4.227,1,rffsps_1
AR5,3,NA,1,4.575,1,rffsps_1
AR5,3,NA,1,3.917,1,rffsps_1
AR5,3,NA,1,2.383,1,rffsps_1
AR5,3,NA,1,3.673,1,rffsps_1
AR5,3,NA,1,1.912,1,rffsps_1
AR5,3,NA,1,2.991,1,rffsps_1
AR5,3,NA,1,5.107,1,rffsps_1
AR5,3,NA,1,3.231,1,rffsps_1
AR5,3,NA,1,3.212,1,rffsps_1
AR5,3,NA,1,2.627,1,rffsps_1
AR5,3,NA,1,7.602,1,rffsps_1
AR5,3,NA,1,4.881,1,rffsps_1
AR5,3,NA,1,3.119,1,rffsps_1
AR5,3,NA,1,3.505,1,rffsps_1
AR5,3,NA,1,5.685,1,rffsps_1
AR5,3,NA,1,2.898,1,rffsps_1
AR5,3,NA,1,1.077,1,rffsps_1
AR5,3,NA,1,4.373,1,rffsps_1
AR5,3,NA,1,0.641,1,rffsps_1
AR5,3,NA,1,2.457,1,rffsps_1
AR5,3,NA,1,3.543,1,rffsps_1
AR5,3,NA,1,2.525,1,rffsps_1
AR5,3,NA,1,3.231,1,rffsps_1
AR5,3,NA,1,2.458,1,rffsps_1
AR5,3,NA,1,3.889,1,rffsps_1
AR5,3,NA,1,1.207,1,rffsps_1
AR5,3,NA,1,4.234,1,rffsps_1
AR5,3,NA,1,1.839,1,rffsps_1
AR5,3,NA,1,8.359,1,rffsps_1
AR5,3,NA,1,2.525,1,rffsps_1
AR5,3,NA,1,3.263,1,rffsps_1
AR5,3,NA,1,4.263,1,rffsps_1
AR5,3,NA,1,2.889,1,rffsps_1
AR5,3,NA,1,2.859,1,rffsps_1
AR5,3,NA,1,3.448,1,rffsps_1
AR5,3,NA,1,1.969,1,rffsps_1
AR5,3,NA,1,5.818,1,rffsps_1
AR5,3,NA,1,3.34,1,rffsps_1
AR5,3,NA,1,1.453,1,rffsps_1
AR5,3,NA,1,2.945,1,rffsps_1
AR5,3,NA,1,1.823,1,rffsps_1
AR5,3,NA,1,2.945,1,rffsps_1
AR5,3,NA,1,0.994,1,rffsps_1
AR5,3,NA,1,2.098,1,rffsps_1
AR5,3,NA,1,4.969,1,rffsps_1
AR5,3,NA,1,3,1,rffsps_1
AR5,3,NA,1,1.46,1,rffsps_1
AR5,3,NA,1,9.564,1,rffsps_1
AR5,3,NA,1,3.703,1,rffsps_1
AR5,3,NA,1,3.443,1,rffsps_1
AR5,3,NA,1,3.607,1,rffsps_1
AR5,3,NA,1,2.64,1,rffsps_1
AR5,3,NA,1,2.004,1,rffsps_1
AR5,3,NA,1,3.033,1,rffsps_1
AR5,3,NA,1,2.643,1,rffsps_1
AR5,3,NA,1,2.413,1,rffsps_1
AR5,3,NA,1,3.853,1,rffsps_1
AR5,3,NA,1,2.017,1,rffsps_1
AR5,3,NA,1,4.476,1,rffsps_1
AR5,3,NA,1,2.646,1,rffsps_1
AR5,3,NA,1,2.326,1,rffsps_1
AR5,3,NA,1,1.347,1,rffsps_1
AR5,3,NA,1,4.779,1,rffsps_1
AR5,3,NA,1,3.222,1,rffsps_1
AR5,3,NA,1,5.032,1,rffsps_1
AR5,3,NA,1,3.65,1,rffsps_1
AR5,3,NA,1,3.613,1,rffsps_1
AR5,3,NA,1,3.405,1,rffsps_1
AR5,3,NA,1,4.655,1,rffsps_1
AR5,3,NA,1,2.13,1,rffsps_1
AR5,3,NA,1,5.481,1,rffsps_1
AR5,3,NA,1,3.97,1,rffsps_1
AR5,3,NA,1,2.965,1,rffsps_1
AR5,3,NA,1,1.909,1,rffsps_1
AR5,3,NA,1,1.138,1,rffsps_1
AR5,3,NA,1,4.148,1,rffsps_1
AR5,3,NA,1,2.965,1,rffsps_1
AR5,3,NA,1,2.074,1,rffsps_1
AR5,3,NA,1,2.993,1,rffsps_1
AR5,3,NA,1,3.589,1,rffsps_1
AR5,3,NA,1,5.199,1,rffsps_1
AR5,3,NA,1,2.549,1,rffsps_1
AR5,3,NA,1,3.422,1,rffsps_1
AR5,3,NA,1,3.342,1,rffsps_1
AR5,3,NA,1,2.482,1,rffsps_1
AR5,3,NA,1,3.718,1,rffsps_1
AR5,3,NA,1,4.833,1,rffsps_1
AR5,3,NA,1,2.708,1,rffsps_1
AR5,3,NA,1,5.036,1,rffsps_1
AR5,3,NA,1,1.105,1,rffsps_1
AR5,3,NA,1,1.378,1,rffsps_1
AR5,3,NA,1,1.753,1,rffsps_1
AR5,3,NA,1,2.113,1,rffsps_1
AR5,3,NA,1,2.926,1,rffsps_1
AR5,3,NA,1,2.391,1,rffsps_1
AR5,3,NA,1,4.245,1,rffsps_1
AR5,3,NA,1,3.306,1,rffsps_1
